iter	Passed	Remaining
0	137	137089
1	139	69451
2	141	46874
3	142	35569
4	144	28790
5	146	24283
6	148	21018
7	149	18599
8	151	16716
9	153	15212
10	155	13978
11	157	12955
12	158	12053
13	160	11319
14	162	10675
15	164	10111
16	166	9612
17	168	9172
18	169	8773
19	171	8414
20	173	8094
21	175	7801
22	177	7531
23	179	7284
24	181	7063
25	182	6854
26	184	6660
27	186	6480
28	188	6312
29	190	6153
30	192	6006
31	194	5870
32	195	5741
33	197	5618
34	199	5501
35	201	5393
36	203	5290
37	205	5191
38	206	5099
39	208	5012
40	210	4927
41	212	4847
42	213	4757
43	215	4684
44	217	4613
45	219	4546
46	221	4482
47	222	4421
48	224	4356
49	226	4301
50	228	4248
51	230	4198
52	232	4152
53	234	4106
54	236	4059
55	238	4013
56	240	3971
57	241	3929
58	243	3880
59	245	3840
60	247	3802
61	248	3765
62	250	3728
63	252	3693
64	254	3659
65	256	3626
66	258	3593
67	259	3561
68	261	3533
69	263	3503
70	265	3474
71	267	3446
72	269	3418
73	271	3392
74	272	3365
75	274	3340
76	276	3314
77	277	3284
78	279	3260
79	281	3237
80	283	3215
81	285	3193
82	287	3172
83	289	3155
84	291	3134
85	292	3113
86	294	3094
87	296	3074
88	298	3052
89	300	3036
90	302	3022
91	304	3006
92	306	2988
93	308	2971
94	310	2954
95	312	2939
96	313	2922
97	315	2907
98	317	2890
99	319	2875
100	321	2860
101	323	2844
102	324	2829
103	326	2814
104	328	2801
105	330	2786
106	332	2774
107	334	2761
108	336	2748
109	338	2734
110	339	2716
111	340	2703
112	342	2691
113	344	2679
114	346	2666
115	348	2655
116	350	2643
117	352	2631
118	353	2619
119	355	2609
120	357	2598
121	359	2587
122	361	2576
123	363	2565
124	364	2554
125	366	2544
126	368	2534
127	370	2524
128	372	2514
129	374	2504
130	376	2494
131	377	2485
132	379	2475
133	381	2466
134	383	2456
135	385	2447
136	387	2438
137	388	2429
138	390	2420
139	392	2412
140	394	2403
141	396	2395
142	398	2387
143	400	2378
144	402	2370
145	403	2362
146	405	2354
147	407	2345
148	409	2338
149	411	2330
150	413	2322
151	414	2314
152	416	2307
153	418	2299
154	420	2292
155	422	2285
156	424	2278
157	426	2270
158	427	2263
159	429	2257
160	431	2249
161	433	2242
162	435	2235
163	437	2229
164	439	2222
165	441	2215
166	442	2209
167	444	2202
168	446	2195
169	448	2189
170	450	2183
171	452	2176
172	454	2170
173	456	2165
174	457	2159
175	459	2153
176	461	2146
177	463	2140
178	465	2134
179	467	2128
180	468	2121
181	470	2116
182	472	2110
183	474	2104
184	476	2099
185	478	2093
186	480	2087
187	481	2081
188	483	2076
189	485	2071
190	487	2066
191	489	2060
192	491	2055
193	493	2049
194	495	2044
195	497	2038
196	498	2033
197	500	2027
198	502	2022
199	504	2017
200	506	2011
201	507	2006
202	509	2001
203	511	1996
204	513	1991
205	515	1986
206	517	1981
207	518	1976
208	520	1971
209	522	1965
210	524	1961
211	526	1956
212	528	1951
213	530	1947
214	532	1943
215	534	1938
216	535	1934
217	537	1929
218	539	1924
219	541	1920
220	543	1915
221	545	1910
222	547	1906
223	548	1901
224	550	1897
225	552	1892
226	554	1887
227	556	1883
228	558	1878
229	559	1874
230	561	1869
231	563	1865
232	565	1861
233	567	1856
234	568	1851
235	570	1847
236	572	1843
237	574	1838
238	576	1834
239	578	1830
240	579	1826
241	581	1821
242	583	1817
243	585	1813
244	587	1809
245	588	1805
246	590	1801
247	592	1797
248	594	1793
249	596	1789
250	598	1785
251	600	1781
252	601	1777
253	603	1773
254	605	1769
255	607	1765
256	609	1761
257	611	1757
258	613	1753
259	614	1750
260	616	1746
261	618	1742
262	620	1739
263	622	1735
264	624	1731
265	626	1727
266	627	1724
267	629	1720
268	631	1717
269	633	1713
270	635	1709
271	637	1706
272	639	1703
273	641	1699
274	643	1696
275	645	1692
276	647	1689
277	649	1685
278	651	1682
279	653	1679
280	655	1676
281	657	1673
282	659	1670
283	661	1667
284	663	1663
285	665	1660
286	666	1656
287	669	1654
288	670	1650
289	672	1647
290	674	1643
291	676	1640
292	678	1637
293	680	1634
294	682	1630
295	684	1627
296	686	1624
297	688	1620
298	689	1617
